Station;Lignes de métro;RER / Tram;Situation;Arrondissement / Localisation;Fréquentation annuelle;Dans le top 20 fréquenté
"Rue du Bac";"12";"";"Souterraine";"Paris 7e";"1423364";"Non"
"Rue Saint-Maur";"3";"";"Souterraine";"Paris 11e";"2004445";"Non"
"Saint-Ambroise";"9";"";"Souterraine";"Paris 11e";"2158466";"Non"
"Saint-Augustin";"9";"";"Souterraine";"Paris 8e";"1934106";"Non"
"Saint-Denis Pleyel";"14";"";"Souterraine";"Hors intra-muros (Saint-Denis)";"0";"Non"
"Saint-Denis - Porte de Paris";"13";"Tram T8";"Souterraine";"Hors intra-muros (Saint-Denis)";"3355836";"Non"
"Saint-Denis - Université";"13";"Tram T5";"Souterraine";"Hors intra-muros (Saint-Denis)";"3569990";"Non"
"Saint-Fargeau";"3bis";"";"Souterraine";"Paris 20e";"472258";"Non"
"Saint-François-Xavier";"13";"";"Souterraine";"Paris 7e";"1213378";"Non"
"Saint-Georges";"12";"";"Souterraine";"Paris 9e";"1258381";"Non"
"Saint-Germain-des-Prés";"4";"";"Souterraine";"Paris 6e";"2378860";"Non"
"Saint-Jacques";"6";"";"Fleur de sol";"Paris 14e";"1407837";"Non"
"Saint-Lazare";"3, 12, 13, 14";"RER E";"Souterraine";"Paris 8e, Paris 9e";"33128384";"Oui"
"Saint-Mandé";"1";"";"Souterraine";"Hors intra-muros (Saint-Mandé)";"3944640";"Non"
"Saint-Marcel";"5";"";"Souterraine";"Paris 13e";"1666744";"Non"
"Saint-Michel";"4";"RER C";"Souterraine";"Paris 5e, Paris 6e";"3747385";"Non"
"Saint-Ouen";"14";"RER C";"Souterraine";"Hors intra-muros (Clichy, Saint-Ouen-sur-Seine)";"3420852";"Non"
"Saint-Paul";"1";"";"Souterraine";"Paris 4e";"4295823";"Non"
"Saint-Philippe du Roule";"9";"";"Souterraine";"Paris 8e";"1935004";"Non"
"Saint-Placide";"4";"";"Souterraine";"Paris 6e";"2391205";"Non"
"Saint-Sébastien - Froissart";"8";"";"Souterraine";"Paris 3e, Paris 11e";"1151192";"Non"
"Saint-Sulpice";"4";"";"Souterraine";"Paris 6e";"1571987";"Non"
"Ségur";"10";"";"Souterraine";"Paris 7e, Paris 15e";"1100151";"Non"
"Sentier";"3";"";"Souterraine";"Paris 2e";"2222744";"Non"
